"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1";"Название св-ва для модификации товара №2";"Значение св-ва для модификации товара №2"
"Костюм женский 45509";;"<br />
Размеры: 42, 44, 46, 48, 50, 52, 54, 56, 58, 60<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;45509;650,00;0,00;450,00;100,00000;шт;https://i4.storeland.net/3/1001/210003705/6e1ffd/kostyum-zhenskij-45508.jpg;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-271;;192441712;;;Размер;52;;
"Костюм женский 45509";;"<br />
Размеры: 42, 44, 46, 48, 50, 52, 54, 56, 58, 60<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;45509;650,00;0,00;450,00;100,00000;шт;https://i4.storeland.net/3/1001/210003705/6e1ffd/kostyum-zhenskij-45508.jpg;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-271;;192441712;;;Размер;54;;
"Костюм женский 45509";;"<br />
Размеры: 42, 44, 46, 48, 50, 52, 54, 56, 58, 60<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;45509;650,00;0,00;450,00;100,00000;шт;https://i4.storeland.net/3/1001/210003705/6e1ffd/kostyum-zhenskij-45508.jpg;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-271;;192441712;;;Размер;56;;
"Костюм женский 45509";;"<br />
Размеры: 42, 44, 46, 48, 50, 52, 54, 56, 58, 60<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;45509;650,00;0,00;450,00;100,00000;шт;https://i4.storeland.net/3/1001/210003705/6e1ffd/kostyum-zhenskij-45508.jpg;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-271;;192441712;;;Размер;58;;
"Костюм женский 45509";;"<br />
Размеры: 42, 44, 46, 48, 50, 52, 54, 56, 58, 60<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;45509;650,00;0,00;450,00;100,00000;шт;https://i4.storeland.net/3/1001/210003705/6e1ffd/kostyum-zhenskij-45508.jpg;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-271;;192441712;;;Размер;60;;
"Костюм женский 45508";;"<br />
Размеры: 42, 44, 46, 48, 50, 52, 54, 56, 58, 60<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;45508;580,00;0,00;400,00;100,00000;шт;https://i4.storeland.net/3/1001/210003704/6e1ffd/kostyum-zhenskij-45507.jpg;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-257;;192441711;;;Размер;44;;
"Костюм женский 45508";;"<br />
Размеры: 42, 44, 46, 48, 50, 52, 54, 56, 58, 60<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;45508;580,00;0,00;400,00;100,00000;шт;https://i4.storeland.net/3/1001/210003704/6e1ffd/kostyum-zhenskij-45507.jpg;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-257;;192441711;;;Размер;46;;
"Костюм женский 45508";;"<br />
Размеры: 42, 44, 46, 48, 50, 52, 54, 56, 58, 60<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;45508;580,00;0,00;400,00;100,00000;шт;https://i4.storeland.net/3/1001/210003704/6e1ffd/kostyum-zhenskij-45507.jpg;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-257;;192441711;;;Размер;48;;
"Костюм женский 45508";;"<br />
Размеры: 42, 44, 46, 48, 50, 52, 54, 56, 58, 60<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;45508;580,00;0,00;400,00;100,00000;шт;https://i4.storeland.net/3/1001/210003704/6e1ffd/kostyum-zhenskij-45507.jpg;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-257;;192441711;;;Размер;50;;
"Костюм женский 45508";;"<br />
Размеры: 42, 44, 46, 48, 50, 52, 54, 56, 58, 60<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
 ";;45508;580,00;0,00;400,00;100,00000;шт;https://i4.storeland.net/3/1001/210003704/6e1ffd/kostyum-zhenskij-45507.jpg;;;"Спортивный костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";bede8e4647-257;;192441711;;;Размер;42;;
